s,betax,alphax,psix,etax,etaxp,xAperture,betay,alphay,psiy,etay,etayp,yAperture,pCentral0,ElementName,ElementOccurence,ElementType,ChamberShape
6.2580999999999189e+00,3.9738661203030297e+01,2.1041534276118174e+01,4.6315454935621387e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.9196010597886996e+01,1.9592692049486857e+02,3.2797370600170415e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    89,      QUAD,               ?
6.2592999999999188e+00,3.9686507112858088e+01,2.2419598009370983e+01,4.6315757104787592e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.8730503619248125e+01,1.9200100205224518e+02,3.2797491858480687e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    90,      QUAD,               ?
6.2604999999999187e+00,3.9631050150996153e+01,2.3793888750236476e+01,4.6316059683918942e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.8274379937989366e+01,1.8810739634948825e+02,3.2797613684052660e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    91,      QUAD,               ?
6.2616999999999186e+00,3.9572299650292251e+01,2.5164175219433865e+01,4.6316362699364308e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.7827562790939169e+01,1.8424544811362068e+02,3.2797736070553571e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    92,      QUAD,               ?
6.2628999999999184e+00,3.9510265497863536e+01,2.6530226811560919e+01,4.6316666177622130e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.7389976981165816e+01,1.8041450739944747e+02,3.2797859011497379e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    93,      QUAD,               ?
6.2640999999999183e+00,3.9444958133432628e+01,2.7891813633902540e+01,4.6316970145349883e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.6961548865322186e+01,1.7661392948017331e+02,3.2797982500245420e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    94,      QUAD,               ?
6.2652999999999182e+00,3.9376388547570762e+01,2.9248706545119390e+01,4.6317274629373610e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.6542206341251983e+01,1.7284307473889865e+02,3.2798106530007138e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    95,      QUAD,               ?
6.2664999999999180e+00,3.9304568279848155e+01,3.0600677193810057e+01,4.6317579656697605e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.6131878835855346e+01,1.6910130856097550e+02,3.2798231093840911e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    96,      QUAD,               ?
6.2676999999999179e+00,3.9229509416892022e+01,3.1947498056940308e+01,4.6317885254514213e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.5730497293211727e+01,1.6538800122720525e+02,3.2798356184654947e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    97,      QUAD,               ?
6.2688999999999178e+00,3.9151224590352513e+01,3.3288942478132924e+01,4.6318191450213781e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.5337994162958168e+01,1.6170252780786026e+02,3.2798481795208265e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       Q19,    98,      QUAD,               ?
